User	Sim	Time	Index	User or Model	Component	Event	Item	Action	Laser on status	Wavelength	Width	Concentration	Absorption	Detector location	Ruler location	diff in parsed table	Table	X axis	Y axis	X axis scale	Y axis scale	Experiment #s included	Notes
19566168	beers-law-lab	0.0	0	model	interface	initializing		beersLawLab.sim.simStarted									{}						
19566168	beers-law-lab	0.0	2	model	sim	updating state			False	780	1.0	0.1		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
19566168	beers-law-lab	0.03	15	model	interface	initializing		beersLawLab.navigationBar.titleTextNode.textChanged	False	780	1.0	0.1		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
19566168	beers-law-lab	3.41	394	user	sim	dragStarted	detectorNode		False	780	1.0	0.1		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
19566168	beers-law-lab	3.44	398	user	sim	dragged	detectorNode	increasing	False	780	1.0	0.1		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
19566168	beers-law-lab	3.45	400	model	sim	updating state			False	780	1.0	0.1		{u'y': 2.01448275862069, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
19566168	beers-law-lab	3.51	407	user	sim	dragged	detectorNode	decreasing	False	780	1.0	0.1		{u'y': 2.01448275862069, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
19566168	beers-law-lab	3.52	410	user	sim	dragged	detectorNode	decreasing	False	780	1.0	0.1		{u'y': 2.01448275862069, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
19566168	beers-law-lab	3.55	412	model	sim	updating state			False	780	1.0	0.1		{u'y': 2.01448275862069, u'x': 6.271034482758622}	{u'y': 3.58, u'x': 3.3}		{}						
19566168	beers-law-lab	3.57	415	user	sim	dragged	detectorNode	decreasing	False	780	1.0	0.1		{u'y': 2.01448275862069, u'x': 6.271034482758622}	{u'y': 3.58, u'x': 3.3}		{}						
19566168	beers-law-lab	3.57	418	user	sim	dragged	detectorNode	decreasing	False	780	1.0	0.1		{u'y': 2.01448275862069, u'x': 6.271034482758622}	{u'y': 3.58, u'x': 3.3}		{}						
19566168	beers-law-lab	3.57	420	model	sim	updating state			False	780	1.0	0.1		{u'y': 2.043448275862069, u'x': 6.169655172413794}	{u'y': 3.58, u'x': 3.3}		{}						
19566168	beers-law-lab	3.59	423	user	sim	dragged	detectorNode	decreasing	False	780	1.0	0.1		{u'y': 2.043448275862069, u'x': 6.169655172413794}	{u'y': 3.58, u'x': 3.3}		{}						
19566168	beers-law-lab	3.59	426	user	sim	dragged	detectorNode	decreasing	False	780	1.0	0.1		{u'y': 2.043448275862069, u'x': 6.169655172413794}	{u'y': 3.58, u'x': 3.3}		{}						
19566168	beers-law-lab	3.59	429	user	sim	dragged	detectorNode	decreasing	False	780	1.0	0.1		{u'y': 2.043448275862069, u'x': 6.169655172413794}	{u'y': 3.58, u'x': 3.3}		{}						
19566168	beers-law-lab	3.59	431	model	sim	updating state			False	780	1.0	0.1		{u'y': 2.0724137931034483, u'x': 6.039310344827587}	{u'y': 3.58, u'x': 3.3}		{}						
19566168	beers-law-lab	3.6	434	user	sim	dragged	detectorNode	decreasing	False	780	1.0	0.1		{u'y': 2.0724137931034483, u'x': 6.039310344827587}	{u'y': 3.58, u'x': 3.3}		{}						
19566168	beers-law-lab	3.61	437	user	sim	dragged	detectorNode	decreasing	False	780	1.0	0.1		{u'y': 2.0724137931034483, u'x': 6.039310344827587}	{u'y': 3.58, u'x': 3.3}		{}						
19566168	beers-law-lab	3.61	440	user	sim	dragged	detectorNode	decreasing	False	780	1.0	0.1		{u'y': 2.0724137931034483, u'x': 6.039310344827587}	{u'y': 3.58, u'x': 3.3}		{}						
19566168	beers-law-lab	3.61	442	model	sim	updating state			False	780	1.0	0.1		{u'y': 2.086896551724138, u'x': 5.981379310344828}	{u'y': 3.58, u'x': 3.3}		{}						
19566168	beers-law-lab	3.61	445	user	sim	dragged	detectorNode	decreasing	False	780	1.0	0.1		{u'y': 2.086896551724138, u'x': 5.981379310344828}	{u'y': 3.58, u'x': 3.3}		{}						
19566168	beers-law-lab	3.63	448	user	sim	dragged	detectorNode	decreasing	False	780	1.0	0.1		{u'y': 2.086896551724138, u'x': 5.981379310344828}	{u'y': 3.58, u'x': 3.3}		{}						
19566168	beers-law-lab	3.63	450	model	sim	updating state			False	780	1.0	0.1		{u'y': 2.1013793103448277, u'x': 5.88}	{u'y': 3.58, u'x': 3.3}		{}						
19566168	beers-law-lab	3.65	453	user	sim	dragged	detectorNode	decreasing	False	780	1.0	0.1		{u'y': 2.1013793103448277, u'x': 5.88}	{u'y': 3.58, u'x': 3.3}		{}						
19566168	beers-law-lab	3.65	456	user	sim	dragged	detectorNode	decreasing	False	780	1.0	0.1		{u'y': 2.1013793103448277, u'x': 5.88}	{u'y': 3.58, u'x': 3.3}		{}						
19566168	beers-law-lab	3.65	459	user	sim	dragged	detectorNode	decreasing	False	780	1.0	0.1		{u'y': 2.1013793103448277, u'x': 5.88}	{u'y': 3.58, u'x': 3.3}		{}						
19566168	beers-law-lab	3.66	461	model	sim	updating state			False	780	1.0	0.1		{u'y': 2.115862068965517, u'x': 5.706206896551725}	{u'y': 3.58, u'x': 3.3}		{}						
19566168	beers-law-lab	3.66	464	user	sim	dragged	detectorNode	decreasing	False	780	1.0	0.1		{u'y': 2.115862068965517, u'x': 5.706206896551725}	{u'y': 3.58, u'x': 3.3}		{}						
19566168	beers-law-lab	3.66	466	model	sim	updating state			False	780	1.0	0.1		{u'y': 2.1303448275862067, u'x': 5.677241379310345}	{u'y': 3.58, u'x': 3.3}		{}						
19566168	beers-law-lab	3.69	470	user	sim	dragged	detectorNode	decreasing	False	780	1.0	0.1		{u'y': 2.1303448275862067, u'x': 5.677241379310345}	{u'y': 3.58, u'x': 3.3}		{}						
19566168	beers-law-lab	3.69	472	model	sim	updating state			False	780	1.0	0.1		{u'y': 2.1303448275862067, u'x': 5.662758620689656}	{u'y': 3.58, u'x': 3.3}		{}						
19566168	beers-law-lab	3.72	477	user	sim	dragged	detectorNode	increasing	False	780	1.0	0.1		{u'y': 2.1303448275862067, u'x': 5.662758620689656}	{u'y': 3.58, u'x': 3.3}		{}						
19566168	beers-law-lab	3.72	480	user	sim	dragged	detectorNode	decreasing	False	780	1.0	0.1		{u'y': 2.1303448275862067, u'x': 5.662758620689656}	{u'y': 3.58, u'x': 3.3}		{}						
19566168	beers-law-lab	3.75	482	model	sim	updating state			False	780	1.0	0.1		{u'y': 2.1448275862068966, u'x': 5.6482758620689655}	{u'y': 3.58, u'x': 3.3}		{}						
19566168	beers-law-lab	3.76	485	user	sim	dragged	detectorNode	increasing	False	780	1.0	0.1		{u'y': 2.1448275862068966, u'x': 5.6482758620689655}	{u'y': 3.58, u'x': 3.3}		{}						
19566168	beers-law-lab	3.76	488	user	sim	dragged	detectorNode	decreasing	False	780	1.0	0.1		{u'y': 2.1448275862068966, u'x': 5.6482758620689655}	{u'y': 3.58, u'x': 3.3}		{}						
19566168	beers-law-lab	3.76	490	model	sim	updating state			False	780	1.0	0.1		{u'y': 2.159310344827586, u'x': 5.633793103448276}	{u'y': 3.58, u'x': 3.3}		{}						
19566168	beers-law-lab	3.78	493	user	sim	dragged	detectorNode	decreasing	False	780	1.0	0.1		{u'y': 2.159310344827586, u'x': 5.633793103448276}	{u'y': 3.58, u'x': 3.3}		{}						
19566168	beers-law-lab	3.78	495	model	sim	updating state			False	780	1.0	0.1		{u'y': 2.159310344827586, u'x': 5.604827586206897}	{u'y': 3.58, u'x': 3.3}		{}						
19566168	beers-law-lab	3.8	498	user	sim	dragged	detectorNode	decreasing	False	780	1.0	0.1		{u'y': 2.159310344827586, u'x': 5.604827586206897}	{u'y': 3.58, u'x': 3.3}		{}						
19566168	beers-law-lab	3.8	501	user	sim	dragged	detectorNode	decreasing	False	780	1.0	0.1		{u'y': 2.159310344827586, u'x': 5.604827586206897}	{u'y': 3.58, u'x': 3.3}		{}						
19566168	beers-law-lab	3.8	503	model	sim	updating state			False	780	1.0	0.1		{u'y': 2.1882758620689655, u'x': 5.532413793103449}	{u'y': 3.58, u'x': 3.3}		{}						
19566168	beers-law-lab	3.82	506	user	sim	dragged	detectorNode	decreasing	False	780	1.0	0.1		{u'y': 2.1882758620689655, u'x': 5.532413793103449}	{u'y': 3.58, u'x': 3.3}		{}						
19566168	beers-law-lab	3.82	509	user	sim	dragged	detectorNode	decreasing	False	780	1.0	0.1		{u'y': 2.1882758620689655, u'x': 5.532413793103449}	{u'y': 3.58, u'x': 3.3}		{}						
19566168	beers-law-lab	3.83	511	model	sim	updating state			False	780	1.0	0.1		{u'y': 2.1882758620689655, u'x': 5.445517241379311}	{u'y': 3.58, u'x': 3.3}		{}						
19566168	beers-law-lab	3.85	514	user	sim	dragged	detectorNode	decreasing	False	780	1.0	0.1		{u'y': 2.1882758620689655, u'x': 5.445517241379311}	{u'y': 3.58, u'x': 3.3}		{}						
19566168	beers-law-lab	3.85	517	user	sim	dragged	detectorNode	decreasing	False	780	1.0	0.1		{u'y': 2.1882758620689655, u'x': 5.445517241379311}	{u'y': 3.58, u'x': 3.3}		{}						
19566168	beers-law-lab	3.86	519	model	sim	updating state			False	780	1.0	0.1		{u'y': 2.2317241379310344, u'x': 5.184827586206897}	{u'y': 3.58, u'x': 3.3}		{}						
19566168	beers-law-lab	3.86	522	user	sim	dragged	detectorNode	decreasing	False	780	1.0	0.1		{u'y': 2.2317241379310344, u'x': 5.184827586206897}	{u'y': 3.58, u'x': 3.3}		{}						
19566168	beers-law-lab	3.86	525	user	sim	dragged	detectorNode	decreasing	False	780	1.0	0.1		{u'y': 2.2317241379310344, u'x': 5.184827586206897}	{u'y': 3.58, u'x': 3.3}		{}						
19566168	beers-law-lab	3.86	528	user	sim	dragged	detectorNode	decreasing	False	780	1.0	0.1		{u'y': 2.2317241379310344, u'x': 5.184827586206897}	{u'y': 3.58, u'x': 3.3}		{}						
19566168	beers-law-lab	3.86	530	model	sim	updating state			False	780	1.0	0.1		{u'y': 2.2317241379310344, u'x': 3.79448275862069}	{u'y': 3.58, u'x': 3.3}		{}						
19566168	beers-law-lab	3.87	533	user	sim	dragged	detectorNode	decreasing	False	780	1.0	0.1		{u'y': 2.2317241379310344, u'x': 3.79448275862069}	{u'y': 3.58, u'x': 3.3}		{}						
